id,text,label
sample_01228,"Title: Definitely worth it.
Review: Installed easily with the tools sent with this battery. Been using my computer a few days now and no issues. I'm glad I didn't buy an Apple OEM battery for 3 times the cost.",2
sample_06900,"Title: I bought 2
Review: I received it and put my jewelry in it, right away.  I had more jewelry than would fit, so I ordered another one.  They are sturdy.  Jewelry easy to view.  Take up little room.",2
sample_04493,"Title: small light brown elastics
Review: I have short hair, medium thick.  I purchased these to keep my hair out of my face and they work.  They don't pull hair when removed.  Good for thin to medium hair - could use in thick hair, but with less easy.  Having said this, I never hesitate to update my reviews should new info seem useful.",2
sample_06756,"Title: Great top
Review: Great color and fabric, great fabric  and washed great.",2
sample_03050,"Title: Works best for curling hair
Review: Versatile hair styling tool, can straighten or curl hair with simple change of attachments. I typically have to straighten my hair every morning so I was excited to use this. I honestly didn't care for it as much as my regular 2 inch ceramic straightener. It took me a lot longer than usual since this surface was a little smaller than what I am used to. I feel this would probably be better used as a curling tool, but just my opinion. Well made and will last for years.",2
sample_00023,"Title: Right size for kids Kindle
Review: After I received the butterfly bag I was not sure if my great niece's Kindle with the big rubber protector would fit. But it fits perfectly in this bag.",2
sample_03107,"Title: Basic Cream shadow
Review: This was a nice color that just didn’t work with my fair skin. I’m not sure what makes this different for “mature” skin. It’s a cream shadow like other cream shadows I’ve tried. Doesn’t make it bad- just a good cream shadow. It is a very tiny container but you don’t need much. On darker skin I think it would be gorgeous.",1
sample_05570,"Title: Just average...below average scent
Review: I wanted to like this much more than I did, especially considering how its priced higher than similar products. The fragrance is very cacao, and it doesn't moisturize for very long.<br />I've barely noticed the gradual tan and find I get a much nicer tan result with the more fairly priced gradual tanners.<br />That being said, it doesn't yellow/orange fair skin and doesn't seem to stain fabric.",1
sample_01147,"Title: My trusty sidekick
Review: Whenever I need to capture some action footage and i'm worried I may damage my good camera, I use this little guy. You really have to kick it in the arse to get the white balance set. But once it's set, she's a beaut'. Don't recommend it at all for low light. The color reproduction is in par with its price range. Also, don't rely on the audio unless your in an acoustically treated environment. The mic is not true stereo. The manual zoom function (on the lcd screen) gets skiddish on high speed turns. It's still reliable for 720p HD footage and can make your action cut scenes look good when you push the camera to its limits. It'll always be my in the pocket action shooter.",1
sample_04317,"Title: Didnt last
Review: Super bummed out didn't last at all! Lifting and nails popping off super irritated since I wasnt able to return",0
sample_04034,"Title: Excellent Product
Review: Good hair spray.  Works!",2
sample_03173,"Title: Too thick a texture for me,covers a scar on ankle, and acouple of age spots on my hands.
Review: First I want to say, I was surprised when I received this, as it is such a small container!<br />I’m not a women that uses allot of blending brushes, and do not have long finger nails, although have manicures<br />Every week. This is the size of a eye shadow container, and is hard to get the pad of my finger to get the foundation out. I Have thin fingers.<br /><br />I don’t wear heavy makeup, but this does cover nice when I use it right over my day face cream, It moves around better.<br />I have a darker scar near my ankle, and it covered good, and the couple of age marks on my hands also.<br />Although the color on me looks peachy compared to the color on my screen that looks more like a flat brownish!<br />I’m fair with blue eyes, lite hair.<br /><br />I’m a fan of Bobbie Brown makeup in a tube, and sometimes revlon pump, For me those are lighter in texture and I'm guessing that is What I like..",1
sample_01537,"Title: DSL FILTER
Review: Well, it did not end the buzzing on my landline phone. I had such high hopes. ATT has this horrid buzzing on the landline and I have not found one filter that will even quiet it even a little.",0
sample_01231,"Title: Didn't exactly fit
Review: It didn't exactly fit, there was a little plastic tab on the unit that was not on the stock one. I had to cut the tab off to get it to fit in my PlayStation 3, but once I had done that it fit and worked perfectly fine",1
sample_02518,"Title: scrunchie fitbit band
Review: Initially I purchased the solid black - it pilled and was really awful. My Mom wanted to try so I ordered her the black flower print she wanted and it was much better so I bought one myself.  If you have a VERY small wrist you'll like the small size.  If you have a normal size wrist you'll prefer your circulation in the ""large"" size.  I do like to pull it on and off easily, no clasps.",2
sample_02889,"Title: Phone charger
Review: They only last for a couple of weeks then it stops working. All five “chargers”!!!!!",1
sample_06255,"Title: Terrible how they made the soles
Review: I thought these would be great outdoor garden shoes. But the soles are not made to walk on any rocks. The rocks constantly get caught and the push the the bottom of the shoe. Plus getting the rocks out takes plyars",0
sample_06439,"Title: Cute. Cheap.  You get what you pay for.
Review: Shoes are warm and cute.<br />Shoe pinches wide feet and thick ankles.<br />Fortunate zipper design still allows somewhat comfortable wear, but decreases  support.  Shoes are not as skid resistant as I had hoped.",1
sample_08819,"Title: Great socks, but not really no-show
Review: Another great quality product from Under Armour. I am deducting one star simply because to me these are not 'no-show' socks (when my husband had them on I certainly can see them when he wears sneakers). That said, these are well made and I love the colors. My husband likes Under Armour better than any other athletic sock on the market today because they last after repeated wearings and washings.",2
sample_02199,"Title: Simply nonsense
Review: Absolute nonsense and a waste of money. This is for people obsessed with any sort of gadget. USELESS!!",0
sample_02577,"Title: Great quality
Review: This sounds great and does a great job of filtering out backgroound noises.. My co-workers say I sound much better and clearer. So happy with this purchase!",2
sample_03351,"Title: Generously-sized buff puffs that create copious suds but I do not like the texture & they are $$$
Review: Mesh buff puffs are the only thing I use in the shower besides a back brush. I love them because they generate a lot of suds and they provide good coverage during showering. These are large-sized and similar to the ones I buy at Walmart for $ 2 each with the exception that they feel more like a cloth than the typical mesh. There are three puffs and they work like any other large mesh loofah I regularly use but they do not feel the same.<br /><br />Also, the current price of $9.99 comes to a pricey $3.33 each puff. I love the attractiveness of these but not the price or the texture. Only time will tell how long they will last.",1
sample_00284,"Title: I love these, they hold up to a lot of ...
Review: I love these, they hold up to a lot of wear, including me washing them by accident in the washing machine. They have 2 sets of the the poertion that goes in the ear,so you can get a good fit. They are comfortable and a great price",2
sample_01618,"Title: Lighter spots appeared on the screen when dark background. Less then a month old!!!!!!!
Review: Don’t think it’s normal or if this vendor has less quality tech",1
